WNT,SHH,G3,G4
CTNNB1,PTCH1,MYC,PRDM6
APC,SUFU,SMARCA4,KMT2D
CSNK2B,SMO,GFI1B,KMT2C
ARID1A,KMT2D,ATM,KDM6A
ARID2,KMT2C,PTEN,ZMYM3
ATM,CREBBP,KBTBD4,MED12
PIK3CA,GSE1,CRX,GFI1B
BAI3,BCOR,HLX,MYCN
EPHA7,GLI2,IRX6,OTX2
DDX3X,TCF4,LHX9,ZIC1
SYNCRIP,TERT,NKX3-2,GFI1
ALX4,TP53,,TBR1
DLX3,BRCA2,,BRCA2
DLX4,PTEN,,KBTBD4
EMX2,PRKAR1A,,CDK6
EN1,EPHA7,,ARID5B
FOXF1,FBXW7,,BARHL1
HOMEZ,DDX3X,,CUX2
HOXC4,IDH1,,DLX5
HOXC5,ATOH1,,EN2
HOXD11,BBX,,EOMES
HOXD13,CEBPA,,FOXP2
HOXD8,DMRTA1,,LHX1
HOXD9,NFATC1,,LHX2
IRX2,PBX1,,LHX5
IRX5,POU3F3,,LMX1A
LEF1,POU6F2,,POU2F1
LHX8,RARB,,SIX1
MAF,SOX13,,SIX6
MSX2,SOX2,,TAL1
NKX6-1,TBX18,,UNCX
ONECUT2,,,
OSR2,,,
PAX3,,,
PITX1,,,
PRRX1,,,
RUNX2,,,
SHOX2,,,
